Accession	Node:0	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Node:25	Node:26	Node:27	Seq:0	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24	Seq:25	Seq:26	Seq:27
10002#1#Chr5	15670	13726	15886	14895	13566	13596	14647	15787	17019	16468	17174	19710	21306	23237	26021	30472	30049	36615	41109	51338	54788	61705	72962	91796	120744	179495	333691	659387	1331567	184589	261971	180692	144596	112813	151514	165035	134201	153319	104239	168049	145112	171513	167836	200486	172803	231538	254798	324998	345187	369601	389374	474347	653212	892245	1417725	18152072
10015#1#Chr5	17070	16920	13542	13213	13073	13738	14334	16544	16896	16572	17929	20020	20911	23222	26182	29565	31659	37471	40820	49375	53518	59641	70831	87469	114608	177844	331739	659387	418759	252524	249302	117021	129779	111221	163795	146225	171762	133888	136327	142167	140319	166737	162964	196504	187447	253089	250194	310678	339532	343622	378889	460976	584520	871283	1396731	18152072
10024#1#Chr5	39883	36603	18526	15582	16804	18154	19361	18440	16128	18642	18758	21240	19865	23296	25939	28088	28631	32305	39245	45669	47355	52732	64616	83055	108325	162607	317017	659387	588142	548430	216677	119030	144386	161000	214763	149860	116981	147214	114782	159288	109072	162854	166790	175793	157581	188295	222303	288996	298105	292017	327514	420606	572734	793541	1327513	18152072
1741#1#Chr5	13530	13354	12359	18240	14233	13439	14019	17621	18088	19210	20333	25656	24191	27545	31230	33971	32348	35746	40810	49471	54682	59739	71041	89884	116437	177063	333909	659387	330094	214063	163122	331438	152766	157587	140993	167983	158581	184996	133153	222869	174982	195389	221672	262602	201644	217312	244805	309841	342831	351819	371666	466842	613302	853853	1416289	18152072
22001f#1#Chr5	10419	28436	15576	13015	13778	14998	15080	17200	15711	15700	18121	19076	19819	22031	26303	29499	29590	35668	39851	48302	52386	59336	71060	86955	113677	171899	336707	659387	537095	443238	254136	112431	120098	149297	166838	146628	126838	122536	139865	162293	128842	148667	174972	210756	166704	228081	240271	298176	326230	337113	383261	457494	587780	847071	1423281	18152072
22002#1#Chr5	21393	21396	13645	14728	15857	15822	16523	17762	14963	15413	18390	22339	19951	23645	27134	31780	30622	36302	38635	45331	49353	57279	67353	85082	113223	168885	330293	659387	637468	294399	169832	131986	133182	175992	171151	182510	97099	136488	125608	196136	131764	167033	197379	234869	188691	245172	249356	286290	287675	332522	362470	439434	600557	832464	1388432	18152072
22003#1#Chr5	51391	18348	18599	17010	16859	17605	20131	20134	17344	17930	17082	20053	20594	22559	23456	27291	29775	32166	38764	43846	48598	54215	62905	77906	104012	167036	307521	659387	1046008	209247	179467	210905	136937	157387	221503	171705	148318	156424	104519	134256	126461	155893	151966	172544	183689	192332	231271	289866	294019	336535	324373	389965	523950	812135	1260970	18152072
22004#1#Chr5	36052	15389	15125	14094	15381	15443	16634	17347	18734	17507	19001	24682	22280	24998	26961	32772	33081	38181	41680	50117	52692	58591	68337	85590	112635	175647	323182	659387	554590	266373	204803	124964	150872	123764	154855	145331	170190	134447	117300	210590	156410	173268	176571	219015	195708	255369	263896	316645	329166	348374	348926	433400	576621	856926	1382841	18152072
22005#1#Chr5	19673	34782	28647	26398	23446	24837	22582	21645	18012	18108	18069	21576	20702	22174	25956	28496	29306	31759	37830	41959	45325	50872	63604	79644	107277	164503	333381	659387	220353	471826	344289	275600	225065	289814	231757	183623	135127	156297	107597	150075	140219	155251	171051	188869	178956	188242	230363	271326	270287	290870	331806	400840	559057	821636	1415896	18152072
22006#1#Chr5	19167	33517	28129	24908	21982	23233	20671	20741	17597	18503	17423	21070	20122	22260	26128	28154	28811	30739	37526	41523	44668	50196	63728	79967	108421	165299	333186	659387	205929	427929	357424	259480	194520	272972	161986	164532	123703	175974	104372	145021	129158	152253	171725	184936	173446	169148	228842	266905	272120	276929	329490	395336	571977	839086	1408837	18152072
22007#1#Chr5	45383	36996	18917	16368	16867	18026	19290	18104	15579	18252	18968	21230	19068	22084	25656	28043	27931	31641	38221	43521	46241	51874	63989	82961	107923	161584	313641	659387	629879	546094	195540	177311	151637	164769	207117	139891	102359	149336	122600	172217	113202	135791	159036	182056	148927	184775	235641	259912	284695	293023	320933	419860	565262	786448	1304860	18152072
6024#1#Chr5	12508	13478	16832	15371	13633	14859	15468	16839	17414	17643	17435	20696	20816	24227	27380	29991	29688	34768	38925	48348	52714	60466	72674	90971	120104	180440	334123	659387	270202	157487	217891	188974	121096	159060	157176	174464	131912	180451	118720	162167	130798	164890	200500	207935	169744	221792	226755	303259	320941	355568	385242	468606	646582	899439	1415316	18152072
6069#1#Chr5	13322	13819	14333	14275	14273	13667	14398	17036	17591	16913	18176	19996	22336	23557	25220	28621	29932	36779	42024	50609	55262	61366	72008	89987	117627	177906	334180	659387	328256	210333	190311	165972	127637	115978	148388	158026	154864	158200	125600	146390	153463	178185	179318	186152	174422	224533	258537	322124	347940	364866	398538	461712	628927	884036	1415339	18152072
6124#1#Chr5	13264	13075	17320	13518	13431	11815	13854	16241	16083	17408	19560	22915	22949	26889	29684	35201	33547	38789	42847	52529	55290	61351	73160	91207	119177	179932	333996	659387	267814	260626	278875	158314	122294	92452	118418	162661	153459	151067	123720	211495	150849	197988	223208	263082	208267	273229	254575	342995	351363	345399	400176	472170	636966	890376	1413916	18152072
6244#1#Chr5	13323	16396	20278	16609	15473	16005	17083	17418	18719	17029	18756	21653	21803	23963	26083	29544	29104	36662	39743	49228	53049	59229	70279	89078	118036	178755	334339	659387	830901	283876	281332	214528	168285	145878	209686	182836	181696	149614	130914	183612	148659	174768	176861	213540	155169	238695	240006	312653	329499	352648	374318	449310	629697	889094	1411704	18152072
