Accession	Node:0	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Node:25	Node:26	Node:27	Seq:0	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24	Seq:25	Seq:26	Seq:27
10002#1#Chr2	15009	11230	14477	11565	10344	10701	11042	13745	15258	16879	21067	24208	19479	20010	24132	25183	27955	30801	37297	49023	55838	63955	70663	79635	103577	148448	247523	437096	207007	135005	132206	138290	105308	144327	83206	110874	138875	115978	161598	215723	159478	122261	163522	179285	181836	176876	184537	287903	361428	396642	403972	454974	538550	729542	1153824	12363658
10015#1#Chr2	7135	18693	16371	12749	10432	10816	9797	10738	12667	15048	15698	15929	16331	20293	26605	25651	27620	27261	33156	41762	48110	60399	67151	75874	99496	148676	250458	437096	150327	271199	247193	179202	109849	131113	112815	90762	110713	135544	123278	124630	111337	119025	210702	182847	189407	153150	178898	243183	291503	375392	382321	429162	504945	730244	1165311	12363658
10024#1#Chr2	34442	26328	15816	17373	18938	17645	14608	15589	16320	16698	18806	19584	21230	22645	26233	24444	24128	23862	29034	37583	42702	51147	58213	70542	93950	133396	236255	437096	479243	364194	180214	299606	226427	264862	142574	130369	132963	101021	137933	131944	170286	145900	209475	177941	153186	127046	145995	194881	253629	294827	302059	373996	470872	644392	1089079	12363658
1741#1#Chr2	14793	12847	10568	9942	11691	9953	12058	11417	10913	14364	17079	21062	21377	23338	27571	27993	28315	30258	37453	48793	56139	66104	69831	79379	103436	148544	247463	437096	217175	127415	94458	140153	149976	101323	130751	105422	70824	106107	128769	172673	164447	147436	217945	213327	180682	164089	176951	284445	360789	417324	390852	454319	537468	731869	1144051	12363658
22001f#1#Chr2	11589	20600	15197	12145	10497	11039	9886	10194	12657	15883	17878	19310	19915	22820	28667	27304	30574	30768	36580	47002	53583	59754	66320	76144	97953	143970	247969	437096	205112	244937	124447	145991	125565	122845	102108	71798	96153	125400	132503	165967	156087	134485	234535	196990	212089	180232	193620	269427	352534	371712	372370	432444	502881	700186	1147275	12363658
22002#1#Chr2	18817	19619	13287	14090	14582	15928	11719	13374	14705	16744	16003	16510	18282	22497	28107	26947	27446	25678	33172	42270	49037	56594	66317	73941	97170	143039	247695	437096	136088	232333	154267	179995	168670	269290	93787	110221	125564	134913	119394	115720	127315	131749	217276	208167	194912	136055	170495	234615	311372	324710	384702	406055	505399	691423	1149816	12363658
22003#1#Chr2	36090	14004	15128	13933	13533	15008	15044	16210	16847	20457	23963	29857	22097	21833	25753	25060	29099	28759	34271	46621	54427	62483	67429	75231	97027	143146	233521	437096	530635	170292	128793	152109	136999	146287	135176	127089	121294	148346	189914	282275	181882	138434	199914	171607	203747	157281	154458	274096	356271	393204	377741	423945	500054	700371	1091666	12363658
22004#1#Chr2	28024	12886	12191	13245	13988	13815	14166	14574	16449	19613	21167	28144	21340	21902	25457	25695	30764	30654	37459	47589	53004	64268	68167	74886	97454	141039	236029	437096	605551	142671	109189	158127	146323	133688	136835	121197	124843	150257	161375	275203	163189	132499	189209	166539	220976	168582	193860	278114	320568	399128	395467	418719	505554	691939	1075595	12363658
22005#1#Chr2	14304	33133	22916	22367	19264	18395	12884	13327	14944	16207	17338	18028	21241	23224	29521	27533	27231	23983	28366	36411	43432	51306	59416	67532	93894	134733	247493	437096	147340	413987	340053	352451	227898	268116	108027	85281	119915	114359	129118	116326	162012	145454	241383	217276	199732	121516	141546	191764	275329	294028	334830	355222	481727	661460	1141532	12363658
22006#1#Chr2	14205	32669	21569	21010	19121	18501	13194	14200	16011	17542	17831	17156	20922	22526	29241	26989	26652	24151	29257	36751	43151	50199	58599	67292	93223	133327	245588	437096	282958	398774	290228	310952	220383	284190	100080	98480	131943	122220	134600	101137	158892	133376	236370	213533	193391	119149	152296	200085	275792	288337	327937	352733	477935	654096	1128231	12363658
22007#1#Chr2	38909	23409	13753	13043	15160	16142	15955	16763	14901	15724	18722	21269	18461	19946	24818	23069	23759	25432	29937	38031	45015	54975	61911	69937	89486	127871	230245	437096	558427	304416	187700	133835	151729	165089	164444	153688	119829	97189	148845	166278	131454	128208	200642	164060	149790	146600	149921	209964	271374	329795	343494	392731	441363	609023	1054571	12363658
6024#1#Chr2	15071	9526	8298	8454	10303	9327	10696	12359	13000	15587	20114	23996	17129	17606	21234	25186	27902	30220	35735	46495	53500	62859	70342	78769	101129	146447	248050	437096	343622	142331	76989	85655	143214	114924	110026	110925	108104	120724	192358	234254	137366	99136	145437	173285	185770	179130	173073	255719	341536	376892	405310	450850	516636	706367	1146031	12363658
6069#1#Chr2	2090	11765	12812	12510	10819	12363	12053	12283	12147	15924	16568	18871	16539	18784	24087	26768	27254	29928	36354	44911	51754	62277	70652	80826	104191	149414	252413	437096	43640	144060	158531	134931	99181	139502	185155	97571	96652	131898	148056	171021	110404	116285	164710	203714	177424	181576	187576	263584	325693	374639	401015	457716	538845	732281	1171329	12363658
6124#1#Chr2	13282	13771	10700	9701	10330	9948	12610	12717	12617	14388	18593	21754	18452	19890	24330	25132	27483	29905	35099	44924	52332	62631	68860	79718	102260	148467	247231	437096	354556	156075	108186	98572	105056	133054	137009	109459	115966	102662	161566	204123	142937	120799	178840	186441	171939	182390	170950	257910	336301	380263	384987	461781	526148	727621	1149340	12363658
6244#1#Chr2	2585	12290	12638	12363	10743	12471	11769	12566	12046	15872	16770	19280	17523	19256	24819	27320	27381	29947	35973	44313	51885	62361	70134	80344	103907	149272	252095	437096	86277	162041	181756	112977	96960	157711	168812	100744	89019	124939	148577	167293	126017	119668	176865	211123	177532	183737	186492	258301	327151	379278	397783	454829	534986	730874	1170374	12363658
6909#1#Chr2	1829	18403	13173	14867	12504	11893	12068	11789	11543	14638	17087	19281	16173	16803	21850	25240	25655	28434	33370	41981	47641	57974	62942	77019	102517	148780	253301	437096	62347	337998	236962	279070	168167	153899	132342	117322	73181	104603	161298	174228	133092	88125	155617	187325	167410	171004	167478	241624	293681	361680	337060	424709	524823	736843	1173514	12363658
6966#1#Chr2	12607	11991	14317	10566	10972	9939	12003	12416	13240	17098	20201	22570	18384	19904	24681	27037	30710	32150	38521	48921	55533	63575	69420	78830	102418	148419	247880	437096	297543	131279	201535	113675	144819	80300	159993	102490	103909	133006	169507	207243	136743	115052	180528	178347	214898	190103	203779	293021	345640	396751	387417	447536	521699	735807	1150532	12363658
8236#1#Chr2	17521	12079	14040	13792	11081	12014	13525	13100	11671	13864	17461	19472	15206	19517	24279	21967	25193	28787	33267	43289	50403	58355	62522	77716	101468	148368	246897	437096	258068	175978	159947	298976	121571	132132	134207	150998	92055	93038	165870	185972	97109	113417	194752	134777	157863	173611	164694	240466	331546	354696	325995	434433	519099	727981	1142030	12363658
9075#1#Chr2	23866	13531	11806	11049	10419	10420	9686	10102	12677	17053	21199	27734	21284	22323	26189	26996	29022	30769	36756	48398	54956	62698	68908	76559	98939	145561	243290	437096	431376	152000	109379	133319	99792	98885	83738	63081	76841	114096	168245	257519	166514	133305	210177	198395	202653	180371	179012	282263	354271	386711	395546	419536	508599	708807	1132630	12363658
9537#1#Chr2	23928	11498	8244	9061	9926	10787	11492	12433	14873	18892	21519	26126	22201	20399	23948	25572	28571	28840	36589	46899	52981	61946	68447	78015	101334	148021	245648	437096	314192	72025	70949	103868	116909	93141	105803	114824	124211	154378	176339	236581	186257	120807	162628	173438	201870	143733	182844	271007	326485	384104	385511	440840	515987	732885	1151884	12363658
9543#1#Chr2	32055	15729	17581	18005	16358	16245	11753	12751	14096	16039	17445	18449	23430	24335	30036	27929	29207	27771	32927	41146	46349	52683	62848	70969	98344	144409	238057	437096	391264	219211	284675	285889	195415	248589	97911	76284	111295	119240	120305	104018	191638	155707	244635	208694	209449	149343	174178	235596	302898	294236	355527	372333	496823	714415	1112349	12363658
9638#1#Chr2	20019	12001	12381	12550	9959	9873	10474	12178	12813	15679	15546	14213	16499	18275	23799	24696	25458	28672	31963	41038	49068	59582	65417	74467	97440	145597	245481	437096	314935	121830	192581	204004	137159	89878	109712	102353	112714	142593	137866	98686	115633	100951	180882	179634	167623	181627	170494	233277	308817	364927	376786	418344	501232	717792	1136004	12363658
9728#1#Chr2	17637	10772	9889	9343	10540	9791	11722	13007	11780	12815	15722	16019	16888	19068	23839	24109	25785	27441	32919	42769	48433	56565	61893	78160	100607	148707	246536	437096	456707	150555	110450	117756	135097	109549	112807	123234	97179	98660	142288	137595	132888	114068	175712	167310	160336	151554	168488	246734	314040	342431	312494	445342	509861	729181	1149545	12363658
9764#1#Chr2	42008	14347	12672	11777	12436	10838	11926	13384	13975	16113	21233	26813	18604	18704	22740	24059	26528	28369	33950	44677	53667	60623	65487	74634	93872	136945	227380	437096	701962	177663	124998	146760	105804	88144	116713	120290	98000	105242	203555	265408	137466	105016	167336	155637	165735	150173	165615	244703	346152	368315	365664	430058	491539	650487	1040240	12363658
9888#1#Chr2	22706	11567	15099	12090	11138	13037	13512	13394	13218	14555	18320	21847	21646	21849	25877	26404	28174	29949	35991	46251	54279	64211	69667	78650	100368	147428	244581	437096	315809	199823	288284	147906	105713	129803	146833	112205	104612	101897	145416	172565	173740	136727	194723	185147	187608	170151	169726	264171	342000	397105	398978	447933	503740	729024	1140693	12363658
9905#1#Chr2	36577	14700	15032	14615	16669	15175	11083	13035	13391	12984	16434	16826	19183	21692	26380	25435	25792	23527	28622	36367	42714	49331	57235	68185	89533	138439	234066	437096	1707498	174821	307778	237044	196912	254856	90895	100069	101950	78831	125489	100405	144151	142973	192169	188795	180988	120352	141695	191963	266710	281687	308701	379608	421409	664689	1084998	12363658
9981#1#Chr2	25662	13329	16246	12225	11626	10962	13427	15987	14310	17585	22907	24168	19412	19172	22706	24445	27603	30615	37726	47003	53618	63700	69462	76494	98166	143316	243396	437096	427862	197103	172674	149564	164744	89354	129328	165582	110419	124224	199115	230667	161281	110662	154574	166948	186948	167169	199363	275469	326810	390969	403225	432157	499588	696625	1127466	12363658
TAIR10#1#Chr2	418	17113	11918	13598	11282	10788	11175	10888	10830	14015	16386	18696	15917	16579	21656	25053	25456	28201	33101	41742	47313	57323	62437	76692	102366	148691	253126	437096	159514	324952	227298	271139	161820	148869	128537	113252	70310	101455	158396	171146	132480	87525	155117	186794	166851	170322	166832	241035	292605	359517	334687	423199	524238	736362	1169585	12363658
