Accession	Node:0	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Node:25	Node:26	Node:27	Seq:0	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24	Seq:25	Seq:26	Seq:27
10002#1#Chr3	18240	17246	13876	18496	18740	16799	19518	17542	16244	17793	19487	19306	19480	20554	21519	25369	32363	39313	38835	44161	50256	58762	68098	84677	109280	155059	288707	503723	278959	277767	152955	314957	300256	165850	255352	182778	155707	135128	163927	161641	134013	151469	138949	153141	183166	254431	242313	258672	271530	329987	366186	427558	564602	746514	1415167	14878666
10015#1#Chr3	7183	15293	21447	19398	16084	14938	16263	15628	16896	18680	19330	22234	25357	27792	26059	27142	32083	38544	40503	44319	45995	54498	64766	82165	106996	157252	292182	503723	127495	252752	297131	378503	229544	165710	156564	147127	155804	165518	146706	165156	179790	218692	192817	162804	178133	247402	245629	282217	246141	306459	336712	421750	552662	755455	1438552	14878666
10024#1#Chr3	37903	23025	14797	15683	17078	17916	18098	20500	21528	22190	24016	27932	29177	29357	28006	31426	37725	44251	43325	45665	48291	55181	64318	80000	103062	145898	276511	503723	605304	305574	132084	193326	183995	185655	187073	192994	194078	166404	182188	202881	209954	213931	175330	191266	218649	294625	277428	279052	247767	321729	338923	402791	511410	684484	1352726	14878666
1741#1#Chr3	13879	17318	15314	12584	13784	13887	15125	17932	15845	18215	18502	21731	24842	27533	28633	29561	37554	45615	46866	48485	49683	56672	66522	85535	112300	159144	289619	503723	408486	321644	208332	137278	171412	141304	126387	215251	143262	150078	145969	159291	163887	194913	206700	167234	213099	289763	305419	307750	272506	317780	344445	430083	576666	765189	1420930	14878666
22001f#1#Chr3	21729	20950	23242	20924	15636	14295	13896	15655	17134	19031	19807	22962	22845	24388	23772	27693	34592	40022	40331	44180	44877	49842	60912	81840	107072	152946	291916	503723	518564	264561	351045	357164	202440	168723	125570	130861	158881	146827	148410	178733	168385	182328	147644	158178	201285	246174	251207	286130	244129	261280	293040	407476	563540	744005	1438216	14878666
22002#1#Chr3	25061	21567	17109	17922	17020	15020	14129	14797	15630	19678	24644	23380	21730	24316	25277	27245	32942	39939	42478	44830	47240	53487	65046	81504	105891	148607	285760	503723	453887	236146	223815	331284	225905	164489	135173	118684	131867	153422	172689	178100	156163	161262	164094	164796	182308	243782	270155	280364	253674	273805	341428	404156	555528	724948	1396253	14878666
22003#1#Chr3	45523	15600	17318	15460	14742	15062	16339	17633	18818	22082	26761	21854	25461	26189	25790	27416	31007	37604	41862	45505	48156	54286	63331	80340	104752	150223	273075	503723	774369	175601	179768	165484	134354	157062	136244	138006	151646	163652	205432	138629	183825	206908	173078	154217	180782	225428	264191	279101	253560	310974	334201	396073	545548	717619	1349609	14878666
22004#1#Chr3	34039	15707	16091	15240	14329	14862	14019	16902	18072	19866	21613	24670	26866	28936	28560	32134	37098	44246	44260	45717	49511	55393	66280	82718	107590	153751	278352	503723	740698	199061	270987	189818	129010	181752	112739	152570	153909	143634	175392	185723	185373	222093	185620	193193	210580	293105	296745	281016	260816	295308	350491	414722	550729	739254	1377223	14878666
22005#1#Chr3	17389	35871	24417	21988	20296	19229	18437	19385	19048	19954	21742	22208	21608	22256	24472	28385	32515	37859	39494	41384	44621	49488	60912	77262	102153	143068	285588	503723	400824	635560	336698	305319	179202	235289	194078	179460	196914	148062	176296	156934	149512	140265	158676	180679	193259	245206	263351	244635	242108	261368	314602	379401	520352	679653	1389299	14878666
22006#1#Chr3	15006	33999	24007	21672	19450	18971	18578	19120	19227	19469	21201	22580	22316	22301	23919	28299	32573	38114	40230	42711	45226	50687	62256	77910	103386	145266	287597	503723	156236	531411	351676	299185	167836	233029	208438	173474	212280	142940	162667	159303	163541	160078	153848	180937	191059	246800	253537	256424	240442	269191	324354	382378	530703	700013	1405414	14878666
22007#1#Chr3	51910	26161	17420	22556	19229	19672	19819	20667	22982	24626	30090	25631	25778	26536	22577	24500	27284	34624	35164	39115	44872	50906	62234	79123	102652	143732	271782	503723	852147	359680	172884	409986	228907	263408	203212	161076	209895	195610	238128	182860	183335	202410	148962	137507	135740	219389	214750	217024	233648	281078	328240	394131	524332	670989	1328528	14878666
6024#1#Chr3	18637	14423	17061	16666	16428	15670	18643	17157	17577	20877	21933	23362	26601	26570	26429	26837	31935	39811	41886	46679	52985	59709	68740	85457	110719	157637	289648	503723	342430	207472	277046	190616	204345	145761	193796	169589	145152	176571	189973	158724	210039	204952	191849	172770	166945	240280	266723	273302	289351	348986	367038	435689	566070	766580	1432648	14878666
6069#1#Chr3	26692	19729	17131	16052	18730	15173	14770	16982	19193	23069	28098	25506	29749	30991	30876	32356	37815	46651	47036	49134	53231	59297	68539	87141	111014	156646	287956	503723	1037021	543223	247430	175104	249348	146026	100997	129775	170885	185511	202172	168572	213957	233166	209261	192130	199643	304661	304133	297926	297520	341355	357022	448347	576116	758665	1402088	14878666
6124#1#Chr3	29022	13779	13027	13990	18424	14518	13867	16393	17791	20426	22012	23699	24829	27805	27928	30289	35594	44504	46977	49419	53281	58876	67574	84350	109418	155268	286892	503723	1268474	240175	153887	139075	257604	212521	123946	143738	161382	166782	178795	170444	157451	209711	204064	190054	195669	274897	307314	301976	298247	341656	366242	426578	564165	737504	1401127	14878666
6244#1#Chr3	28457	18093	14751	12033	12622	15375	16573	20215	23690	25524	28906	24105	27511	28714	27768	29148	34984	43825	44977	46716	51588	58226	66268	83388	110079	155974	287612	503723	700200	338995	215942	115066	108730	146092	117747	165079	227955	208073	229371	165352	205359	222802	197180	165514	188943	288447	298176	279635	291290	340161	350690	418761	570183	758663	1412651	14878666
6909#1#Chr3	1325	22579	16558	18121	17345	16946	19743	18878	17064	18229	19718	21415	21774	24954	25231	25266	32192	39365	38885	44340	50513	58884	67737	86462	111143	156746	295991	503723	100737	246034	218243	319722	276044	210409	249211	199689	158898	139332	168514	179039	132928	198065	192927	153556	181764	255773	247952	256503	276377	335286	342749	445982	571732	746142	1453588	14878666
6966#1#Chr3	23337	19984	16851	15650	17527	17640	19476	22848	21842	24482	25641	25919	27239	28793	27702	29495	36135	43257	43684	49121	51881	58472	69828	86029	109963	155012	287747	503723	416664	255681	241916	218593	240137	187368	179853	230890	187044	194391	201179	213885	194315	229323	192885	179877	206073	286501	269946	313460	289584	333550	379365	445783	574405	751610	1405474	14878666
8236#1#Chr3	18204	17456	16339	14216	15233	15456	18443	18124	18069	22193	27323	23525	25408	27794	26994	24308	26641	32213	36495	43834	50240	57297	67461	85614	112700	158534	288458	503723	338372	490824	266643	156193	144719	205612	210753	186531	143649	172860	232437	186247	165547	230733	225855	169278	151006	198707	224331	251934	275689	321529	355945	435456	579109	771120	1413839	14878666
9075#1#Chr3	26070	11212	14811	14924	16510	16050	16419	17772	19083	22772	26681	23691	25967	28325	27761	31259	37551	45005	44152	48269	54036	60596	68734	85502	109581	156870	285217	503723	331365	238400	177458	164934	182465	176830	147024	178817	152425	196973	213099	169942	180827	226608	188482	203133	213005	292221	281815	277057	303940	359420	369922	435828	556142	757164	1421482	14878666
9537#1#Chr3	18491	15916	16464	15459	14806	15040	15650	17582	18241	19754	20876	23736	22626	23761	25882	31192	39283	46366	46579	50421	54906	61381	69924	87761	111882	156047	286578	503723	265175	198493	191222	178677	133236	213065	135807	182290	163551	154310	167110	189636	163345	161597	165628	186959	223060	294104	301086	293403	309958	362709	374332	453864	580854	752765	1371496	14878666
9543#1#Chr3	37278	19354	18746	19144	18173	16896	17004	20583	21847	23736	29341	25776	26698	28125	26539	30310	36415	44190	44327	45543	48893	54450	63234	80220	107403	153275	278165	503723	543431	351724	217860	248803	162753	202191	134994	194054	199648	174659	233548	208987	191035	204240	172465	171857	207261	304399	306974	274691	265533	322887	336549	393775	564419	732855	1378375	14878666
9638#1#Chr3	14527	15258	20237	18864	14877	12804	14183	15146	16604	19578	20232	22808	24828	27503	25547	26840	31872	37790	39843	43513	46044	53515	64699	81143	107546	157775	289672	503723	368885	235334	292403	353355	227634	110321	137543	132779	127274	161384	165824	175180	166777	233159	181915	169193	174985	240546	244290	267941	244115	296017	339793	411204	552513	749992	1435456	14878666
9728#1#Chr3	23745	16277	15453	18868	19547	16906	18870	20004	19175	23148	28165	23981	27602	29823	30728	32382	39560	46924	45505	49697	52853	60265	68378	86350	111565	157937	288892	503723	481140	285390	208312	278848	284871	185359	187216	219851	175633	199790	225903	167498	195698	216287	231376	190447	226143	305262	291553	305583	286206	348347	360768	437883	577186	757421	1434629	14878666
9764#1#Chr3	44452	20157	18364	18711	16932	16627	18474	18169	18937	19100	21690	22928	23131	26757	25703	27775	34728	44219	41713	45267	49864	56362	64441	81398	104591	149443	271698	503723	565114	239820	219899	188983	150200	193427	201459	163302	171003	138259	168183	183960	156399	202681	186669	150763	180054	292755	270143	274076	272017	334921	334603	414741	536023	708967	1344590	14878666
