Accession	Node:0	Node:1	Node:2	Node:3	Node:4	Node:5	Node:6	Node:7	Node:8	Node:9	Node:10	Node:11	Node:12	Node:13	Node:14	Node:15	Node:16	Node:17	Node:18	Node:19	Node:20	Node:21	Node:22	Node:23	Node:24	Node:25	Node:26	Node:27	Seq:0	Seq:1	Seq:2	Seq:3	Seq:4	Seq:5	Seq:6	Seq:7	Seq:8	Seq:9	Seq:10	Seq:11	Seq:12	Seq:13	Seq:14	Seq:15	Seq:16	Seq:17	Seq:18	Seq:19	Seq:20	Seq:21	Seq:22	Seq:23	Seq:24	Seq:25	Seq:26	Seq:27
10002#1#Chr1	20273	14194	13630	12846	13968	15749	16018	17545	19870	18366	19965	24528	25039	28050	29874	34362	37304	41668	47263	53775	54644	63115	78126	100256	133999	207425	370066	739308	364863	160651	192886	141460	107967	165828	155439	140354	219859	136491	124495	189437	184988	234789	205593	234046	247075	266508	274468	362909	298124	346639	400184	498530	693966	1013763	1630570	20313293
10015#1#Chr1	17814	13706	17970	16049	18435	16005	19221	18937	16679	16283	20494	20652	21881	24577	24900	28909	30629	37439	40098	44631	51795	59857	74716	96448	129137	207892	370925	739308	515495	183358	294166	198773	267681	185611	225692	252756	146200	110259	178488	142056	153262	216535	180877	197631	170013	247598	231596	246695	295887	317557	369470	476243	659342	1006688	1633711	20313293
10024#1#Chr1	40829	31286	19198	18221	18575	17629	19770	20257	20742	23925	23710	24251	21289	21800	22260	26525	30382	32463	36741	38394	42480	51226	64929	85744	118766	189632	351362	739308	691797	436569	245197	191670	176480	130994	197070	167878	146996	175491	172916	187282	135056	148693	109836	156695	173112	192318	210022	219410	213864	258486	318531	405645	576233	899400	1515298	20313293
1741#1#Chr1	20405	16962	15625	18823	17664	16437	16575	19296	20865	18430	20981	22622	24034	27428	28723	34131	36936	41469	45324	50759	53188	62682	77427	98939	134174	206733	370225	739308	524634	286443	239972	249951	232474	157858	145071	156933	228695	140839	150335	167230	164094	230677	203977	223009	243424	272674	258486	331012	289978	343798	393002	491930	699769	1004626	1632901	20313293
22001f#1#Chr1	10631	27133	20176	18629	20060	18993	19317	20210	16329	17480	20826	20888	21115	23849	24027	28163	31358	37387	39846	43935	50991	56928	72801	95598	130542	199370	373817	739308	275168	348920	317006	239963	267534	261124	192339	277434	131940	118972	176037	159494	147450	194997	166597	177471	178882	243019	236026	239065	302080	290667	365754	470434	683890	994297	1645105	20313293
22002#1#Chr1	19447	28240	17877	17227	18129	18714	15733	17741	18023	20043	22302	22787	21459	22721	24035	31071	33149	38940	42888	46141	49315	56757	70696	92059	126763	197199	371475	739308	253851	379345	285314	178243	165732	261540	142524	163272	137612	135740	175232	166870	153711	147577	131959	218318	199446	259334	265181	279366	274454	302636	350735	448367	644206	976610	1638068	20313293
22003#1#Chr1	52582	21384	18781	19891	18365	18527	19843	21610	22680	23951	25800	29101	25158	25064	26136	32189	34674	37822	40446	46240	48317	52990	68691	88539	123480	194602	347253	739308	905897	280425	232835	197010	173875	143147	161943	185088	175171	164007	161297	249268	177752	168624	140618	197962	217630	223382	224213	287517	269972	247636	336831	423845	637112	913673	1514290	20313293
22004#1#Chr1	42238	20469	17914	18442	18646	17800	17639	19107	22632	23168	24592	27716	22565	25153	26007	31622	34338	37106	41434	47366	51532	57955	72235	92219	127345	201572	357881	739308	920981	307050	196315	204234	191128	158580	157177	136971	174363	161819	169322	243962	142735	171053	159941	207515	227730	223300	240358	290274	287111	311270	364974	449641	657362	977291	1579475	20313293
22005#1#Chr1	18435	47661	30090	28291	25458	21296	21318	22156	23301	25119	27398	27892	23159	22725	23037	28300	31402	34302	37514	42202	43453	49124	61465	79613	111953	180658	370188	739308	497234	841475	335496	338620	307715	174754	196281	164531	189787	173534	207619	234334	164903	154321	131789	176200	193963	213735	201728	274875	240535	260997	309769	372214	567856	850468	1624202	20313293
22006#1#Chr1	16702	45486	28108	24019	21412	21081	21499	21917	22865	24017	26714	27764	23614	22808	22673	27280	29812	31776	37169	43133	43593	49323	61519	78433	109231	178212	367954	739308	225810	783170	336467	283957	184304	165342	200530	162940	184930	164640	199703	233102	169253	160639	128931	162574	187374	192563	191063	281377	240989	257855	313561	373847	529244	830698	1592200	20313293
