Feature	Sequence[bp]	#Node
10002	280653	18360
10015	128129	7318
10024	606105	38055
1741	409551	13978
22001f	520266	21990
22002	454193	25168
22003	779818	46258
22004	743104	34278
22005	403712	17690
22006	160730	15771
22007	857761	52346
6024	343117	18747
6069	1043777	27297
6124	1271905	29505
6244	703741	28902
6909	101449	1374
6966	417097	23483
8236	338696	18311
9075	331955	26276
9537	265285	18583
9543	545179	37538
9638	371739	14736
9728	483027	23950
9764	566259	44720
9888	238418	17662
9905	580197	34673
9981	549325	22820
TAIR10	199918	1777
0	0	0
1	13641513	674630
2	4376497	272071
3	2199726	162118
4	1682419	119847
5	1088997	92838
6	842851	74506
7	679321	68416
8	600150	63573
9	519732	58020
10	460371	58424
11	475769	59925
12	406505	54440
13	373355	53318
14	400249	53054
15	342102	49235
16	299901	49731
17	314778	56284
18	414435	64309
19	397888	62142
20	386571	64124
21	360993	66251
22	405501	71659
23	420916	80227
24	490087	97138
25	625761	121374
26	795021	165572
27	1453591	295994
28	14878666	503723
