Feature	Sequence[bp]	#Node
10002	333807	16768
10015	175773	6232
10024	559796	33202
1741	132376	7945
22001f	222976	6394
22002	76875	5231
22003	622521	35057
22004	577470	27993
22005	576155	14024
22006	315363	12982
22007	553945	40227
6024	286804	15215
6069	196809	6565
6124	295323	13323
6244	406502	7108
6909	38848	519
6966	224210	14799
8236	273201	20699
9075	428590	27838
9537	236072	18100
9543	674631	36013
9638	201740	9463
9728	356848	23411
9764	794395	41351
9888	188848	19209
9905	913258	46601
9981	280151	20067
TAIR10	12491	973
0	0	0
1	9818018	514714
2	3422161	229450
3	1865561	137430
4	1294862	100088
5	1007638	75214
6	608519	59477
7	817782	51449
8	425286	45503
9	318569	43431
10	349181	43229
11	346596	44733
12	417400	46349
13	347827	44848
14	297750	40988
15	315936	41760
16	299951	43909
17	313266	47840
18	331627	52018
19	372057	52735
20	315847	53784
21	359794	58863
22	388439	67903
23	460192	76051
24	516185	84661
25	514315	100214
26	771214	145210
27	1166830	234584
28	11415828	434519
