Feature	Sequence[bp]	#Node
10002	1331828	15746
10015	426460	17332
10024	592895	40308
1741	332471	13676
22001f	539461	10589
22002	640643	21682
22003	1053795	52043
22004	564562	36743
22005	222070	19795
22006	207026	19287
22007	632602	45561
6024	270555	12581
6069	333648	13441
6124	268735	13388
6244	834067	13550
6909	78654	1616
6966	417400	11895
8236	304979	18666
9075	538548	24624
9537	302564	21805
9543	567077	37181
9638	307667	15462
9728	315638	18174
9764	1068901	56319
9888	256641	19754
9905	703380	45559
9981	487829	22345
TAIR10	55892	709
0	0	0
1	13561770	632979
2	3984460	265514
3	2144324	156851
4	1340164	115568
5	817154	87348
6	716854	72929
7	652343	65605
8	589004	62055
9	446684	52577
10	426907	48479
11	308753	47175
12	410408	51304
13	311616	46476
14	351007	48578
15	353093	51075
16	381874	54573
17	303786	51054
18	357236	55705
19	360034	59690
20	428889	67526
21	428452	69088
22	431797	73934
23	445201	84552
24	525156	102003
25	678756	128760
26	925172	187921
27	1440694	340772
28	18152072	659387
