Feature	Sequence[bp]	#Node
10002	207654	15084
10015	150616	7262
10024	481173	34883
1741	217269	14853
22001f	205364	11667
22002	138581	19029
22003	531420	36453
22004	609667	28197
22005	148252	14530
22006	283250	14446
22007	562758	39468
6024	344440	15447
6069	43770	2104
6124	357835	13376
6244	87432	2626
6909	64525	2039
6966	297615	12677
8236	260502	17827
9075	432018	24020
9537	315899	24272
9543	393846	32289
9638	317832	20426
9728	457224	17740
9764	709450	43026
9888	316762	22942
9905	1707912	36705
9981	432375	26477
TAIR10	159521	425
0	0	0
1	10187035	543178
2	2922484	224915
3	1667240	129373
4	1277954	92007
5	813492	70931
6	715620	58969
7	494232	48761
8	385733	45565
9	331037	42211
10	330282	44826
11	390143	47187
12	415550	48931
13	316315	41165
14	247075	41085
15	357045	47237
16	323586	44951
17	303685	45101
18	249829	44174
19	253414	50255
20	348266	61148
21	424425	67184
22	458150	75449
23	447497	80030
24	493146	88185
25	564880	110621
26	758561	155095
27	1173685	253321
28	12363658	437096
