pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
POP1	Chr1	1	300000	0.005489322068667208	297416	2298736	418765008	6843012
POP1	Chr1	300001	600000	0.006914499240382802	299727	2886820	417502396	11406941
POP1	Chr1	600001	900000	0.004199479475499108	299758	1781604	424244007	4719708
POP1	Chr1	900001	1200000	0.005800593665913508	299849	2452300	422767072	6319709
POP1	Chr1	1200001	1500000	0.005266136437207916	299772	2200744	417904858	11068874
POP1	Chr1	1500001	1800000	0.006668760078436572	299721	2798332	419618035	9282716
POP1	Chr1	1800001	2100000	0.00494801633293643	299877	2091564	422707578	6417840
POP1	Chr1	2100001	2400000	0.005541482828031261	299868	2322848	419174447	9939523
POP1	Chr1	2400001	2700000	0.004196598738128087	297836	1741732	415034200	14105528
POP1	Chr1	2700001	3000000	0.006653464312884879	299852	2718524	408587748	20500464
POP1	Chr1	3000001	3300000	0.006742845736495484	299799	2820552	418302911	10712320
POP1	Chr1	3300001	3600000	0.007056482833999246	299764	2919076	413672940	15289344
POP1	Chr1	3600001	3900000	0.008576702585534163	299667	3502416	408363933	20459544
POP1	Chr1	3900001	4200000	0.00808090623997158	299708	3362832	416145405	12736743
POP1	Chr1	4200001	4500000	0.008689918889310725	299719	3538044	407143501	21767267
POP1	Chr1	4500001	4800000	0.005116865725289751	299820	2148808	419946138	9100575
POP1	Chr1	4800001	5100000	0.005928002051867414	299834	2504136	422424955	6637499
POP1	Chr1	5100001	5400000	0.007571031372412661	299282	3104716	410078343	18194199
POP1	Chr1	5400001	5700000	0.007682835344645261	299798	3145064	409362411	19661406
POP1	Chr1	5700001	6000000	0.0075504674423389415	299776	3130688	414634991	14348758
POP1	Chr1	6000001	6300000	0.005758942853784741	299739	2366852	410987235	17947860
POP1	Chr1	6300001	6600000	0.0062344992558887955	299773	2560308	410667785	18307378
POP1	Chr1	6600001	6900000	0.006588938092450299	299823	2663500	404238128	24808585
POP1	Chr1	6900001	7200000	0.0076249603769144225	299720	3030984	397508164	31391156
POP1	Chr1	7200001	7500000	0.006691340136900165	299712	2662504	397902953	30993505
POP1	Chr1	7500001	7800000	0.0063706418976428635	299820	2637644	414031120	15015593
POP1	Chr1	7800001	8100000	0.007796124159762755	299744	3201268	410623014	18313512
POP1	Chr1	8100001	8400000	0.008917871017409575	299656	3618936	405807170	23004859
POP1	Chr1	8400001	8700000	0.010087063271302142	263240	3583988	355305395	21392476
POP1	Chr1	8700001	9000000	0.005448945679842144	227134	1680204	308353964	16701979
POP1	Chr1	9000001	9300000	0.006050375859460557	299696	2415228	399186440	29751517
POP1	Chr1	9300001	9600000	0.010005912913940403	277182	3660224	365806102	30848495
POP1	Chr1	9600001	9900000	0.006231198933969777	299751	2472320	396764736	32178945
POP1	Chr1	9900001	10200000	0.0078388569564487	299660	3234980	412685168	16144033
POP1	Chr1	10200001	10500000	0.006855064549630134	299720	2843316	414775963	14127650
POP1	Chr1	10500001	10800000	0.006793906326141776	299608	2789168	410539661	18206542
POP1	Chr1	10800001	11100000	0.010356460374253352	299486	4174544	403085982	25484208
POP1	Chr1	11100001	11400000	0.017131322083274555	298432	6270424	366021021	61036602
POP1	Chr1	11400001	11700000	0.01730590130161251	298269	6153876	355594077	71234586
POP1	Chr1	11700001	12000000	0.015538474242362396	299138	5703908	367082888	60985021
POP1	Chr1	12000001	12300000	0.013792281089088513	299132	5196652	376779734	51279589
POP1	Chr1	12300001	12600000	0.02256071724648393	277275	7365052	326454692	70325833
POP1	Chr1	12600001	12900000	0.021945616884456242	230743	4974064	226654098	103543428
POP1	Chr1	12900001	13200000	0.022405854370045435	298691	7486288	334121961	93307722
POP1	Chr1	13200001	13500000	0.020990635672644423	269167	5942460	283100526	102231999
POP1	Chr1	13500001	13800000	0.034324119110024524	219833	6835188	199136589	115444434
POP1	Chr1	13800001	14100000	0.011823531191475917	295034	3766480	318557962	103791671
POP1	Chr1	14100001	14400000	0.013452449787755035	226168	3124240	232243201	96391673
POP1	Chr1	14400001	14700000	0.014144151228460527	5354	32916	2327181	5334393
POP1	Chr1	14700001	15000000	NA	0	0	0	0
POP1	Chr1	15000001	15300000	NA	0	0	0	0
POP1	Chr1	15300001	15600000	0.01512745173831314	30038	524808	34692426	8291952
POP1	Chr1	15600001	15900000	0.013165582681390396	71784	1247464	94751902	7971002
POP1	Chr1	15900001	16200000	0.017790879180752468	218074	4171872	234494988	77587509
POP1	Chr1	16200001	16500000	0.017168669957237107	259841	4538112	264325193	123246847
POP1	Chr1	16500001	16800000	0.014207494948175461	272022	4249980	299136478	90129866
POP1	Chr1	16800001	17100000	0.0191154401935993	298679	6304840	329829705	97581375
POP1	Chr1	17100001	17400000	0.01713174081590842	298934	6317792	368777001	58998984
POP1	Chr1	17400001	17700000	0.015185238539921556	299111	5245344	345423879	82764234
POP1	Chr1	17700001	18000000	0.008661370474220033	299593	3518688	406250721	22466862
POP1	Chr1	18000001	18300000	0.008674916251189548	299518	3385596	390274200	38340351
POP1	Chr1	18300001	18600000	0.009337284113051013	299525	3881864	415738019	12882256
POP1	Chr1	18600001	18900000	0.009020268878553929	299469	3476964	385461237	43081764
POP1	Chr1	18900001	19200000	0.009558160865292055	298765	3635656	380371920	47163657
POP1	Chr1	19200001	19500000	0.018235758667259766	298627	6517736	357415127	69922972
POP1	Chr1	19500001	19800000	0.010411016780866717	299637	3926860	377183140	51600269
POP1	Chr1	19800001	20100000	0.008127984937355127	299648	3345284	411576058	17220230
POP1	Chr1	20100001	20400000	0.008086805435126474	276191	3008224	371991638	23241976
POP1	Chr1	20400001	20700000	0.010183140541217014	299487	4126956	405273401	23292496
POP1	Chr1	20700001	21000000	0.007708486562738378	299560	3116236	404260418	24411373
POP1	Chr1	21000001	21300000	0.015419079272039522	267090	5148472	333902687	48305965
POP1	Chr1	21300001	21600000	0.017729430164394436	290015	6209736	350250174	64762722
POP1	Chr1	21600001	21900000	0.025325087534384505	213043	6129656	242038887	62827077
POP1	Chr1	21900001	22200000	0.0177341334920397	298270	6788716	382805058	44022174
POP1	Chr1	22200001	22500000	0.013477820282073867	299201	5392824	400125828	28030803
POP1	Chr1	22500001	22800000	0.020125724952130546	298205	7333476	364383197	62356744
POP1	Chr1	22800001	23100000	0.018833530581434763	297982	7269956	386011320	40413801
POP1	Chr1	23100001	23400000	0.01877869581051485	298917	6767792	360397339	67365767
POP1	Chr1	23400001	23700000	0.01054214646598722	299438	4086296	387615180	40882029
POP1	Chr1	23700001	24000000	0.016145011320385007	299047	6552056	405825420	22122285
POP1	Chr1	24000001	24300000	0.014183059230865595	299024	5631920	397087815	30822684
POP1	Chr1	24300001	24600000	0.01892639800126839	297067	7415796	391822892	33301450
POP1	Chr1	24600001	24900000	0.016508257774842525	299069	6635532	401952289	26015450
POP1	Chr1	24900001	25200000	0.012179027955752372	299416	4848004	398061653	30422677
POP1	Chr1	25200001	25500000	0.009670746891070697	299494	4049096	418695272	9880642
POP1	Chr1	25500001	25800000	0.008918542751334147	299636	3719244	417023734	11755382
POP1	Chr1	25800001	26100000	0.009667775035152055	299660	4035620	417430069	11391977
POP1	Chr1	26100001	26400000	0.012187821132891548	299136	4880832	400467971	27657178
POP1	Chr1	26400001	26700000	0.007364043079889331	299799	3115496	423068682	5943687
POP1	Chr1	26700001	27000000	0.008520712379673176	299746	3580672	420231530	8706427
POP1	Chr1	27000001	27300000	0.005114059669605218	299783	2178652	426012237	3037338
POP1	Chr1	27300001	27600000	0.009060216858289302	298579	3617200	399239892	28029519
POP1	Chr1	27600001	27900000	0.005900113073671686	299819	2500592	423821030	5219959
POP1	Chr1	27900001	28200000	0.005311387372211673	299856	2237884	421336996	7762664
POP1	Chr1	28200001	28500000	0.004769477833748315	299823	2030376	425701947	3344766
POP1	Chr1	28500001	28800000	0.005853673893924665	299717	2432016	415468310	13582696
POP1	Chr1	28800001	29100000	0.005778259484935767	299823	2429224	420407565	8639148
POP1	Chr1	29100001	29400000	0.007995685627050445	299762	3327000	416099401	12861452
POP1	Chr1	29400001	29700000	0.006578514110815195	299806	2754868	418767514	10256303
POP1	Chr1	29700001	30000000	0.004892667894964042	299850	2075168	424138332	4948449
POP1	Chr1	30000001	30300000	0.004467891201274648	299824	1876408	419976207	9071937
POP1	Chr1	30300001	30600000	0.00402235424840799	118333	674392	167661016	1676369
POP1	Chr2	1	300000	0.010030912383764955	225387	3062632	305319385	17215136
POP1	Chr2	300001	600000	0.009339187840769616	299522	3591612	384574340	44060245
POP1	Chr2	600001	900000	0.01680401330743907	297491	5768424	343276567	82531793
POP1	Chr2	900001	1200000	0.012292225904290697	299029	4702952	382595637	45320586
POP1	Chr2	1200001	1500000	0.014429495843936432	298799	4535384	314313407	113270824
POP1	Chr2	1500001	1800000	0.016941112562808433	275957	5461912	322405744	72494447
POP1	Chr2	1800001	2100000	0.025534314977769194	276858	7968600	312074164	84112496
POP1	Chr2	2100001	2400000	0.01963333256820531	298633	7187420	366082527	61262727
POP1	Chr2	2400001	2700000	0.015447630319050401	221847	3731708	241571550	75891507
